"SSID","BSSID","COMPANY","RSSI","FREQUENCY","WIDTH","CAPABILITIES"
"Macalline_Office","06:05:88:5f:86:09","","-34","5805","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:87:f7","","-39","2412","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:87:f8","","-45","5320","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:86:08","","-46","2452","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:83:8e","","-54","5765","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:23:7c:a8","","-54","5785","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:84:c9","","-56","5280","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:23:7c:dc","","-57","5825","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:81:c7","","-57","5300","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:83:8d","","-58","2432","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:23:81:84","","-59","5200","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:81:9e","","-61","2452","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:85:7d","","-61","5220","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:81:c6","","-63","2472","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:85:55","","-63","5745","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:81:9f","","-64","5240","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:23:7c:34","","-64","5180","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:23:83:cc","","-70","5180","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:23:7c:9c","","-77","5260","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:85:ef","","-80","2452","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:84:00","","-81","2412","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:84:dd","","-84","5200","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Office","06:05:88:5f:80:f5","","-91","5320","20MHZ","[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS]"
"Macalline_Guest","0e:05:88:5f:86:09","","-34","5805","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:87:f7","","-39","2412","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:87:f8","","-45","5320","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:86:08","","-46","2452","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:83:8e","","-53","5765","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:23:7c:a8","","-54","5785","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:84:c9","","-56","5280","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:81:c7","","-57","5300","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:23:81:84","","-59","5200","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:83:8d","","-59","2432","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:85:7d","","-60","5220","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:81:9e","","-61","2452","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:85:55","","-63","5745","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:81:9f","","-64","5240","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:23:7c:34","","-66","5180","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:23:83:cc","","-71","5180","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:85:ef","","-77","2452","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:23:7c:9c","","-78","5260","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:84:dd","","-83","5200","20MHZ","[ESS]"
"Macalline_Guest","0e:05:88:5f:80:f5","","-92","5320","20MHZ","[ESS]"
"hq-guest","1e:05:88:5f:86:09","","-34","5805","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:87:f7","","-39","2412","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:87:f8","","-45","5320","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:84:c8","","-52","2472","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:83:8e","","-54","5765","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:23:7c:a8","","-54","5785","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:84:c9","","-56","5280","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:81:c7","","-57","5300","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:85:7c","","-58","2412","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:23:81:84","","-59","5200","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:83:8d","","-59","2432","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:85:7d","","-60","5220","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:81:9e","","-62","2452","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:85:55","","-63","5745","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:5f:81:9f","","-64","5240","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:23:83:cc","","-70","5180","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"hq-guest","1e:05:88:23:7c:9c","","-78","5260","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"MG","12:05:88:5f:86:09","","-35","5805","20MHZ","[ESS]"
"MG","12:05:88:5f:87:f7","","-39","2412","20MHZ","[ESS]"
"MG","12:05:88:5f:87:f8","","-45","5320","20MHZ","[ESS]"
"MG","12:05:88:5f:86:08","","-46","2452","20MHZ","[ESS]"
"MG","12:05:88:5f:83:8e","","-54","5765","20MHZ","[ESS]"
"MG","12:05:88:23:7c:a8","","-54","5785","20MHZ","[ESS]"
"MG","12:05:88:5f:84:c9","","-56","5280","20MHZ","[ESS]"
"MG","12:05:88:5f:81:c7","","-57","5300","20MHZ","[ESS]"
"MG","12:05:88:5f:85:7c","","-58","2412","20MHZ","[ESS]"
"MG","12:05:88:5f:83:8d","","-58","2432","20MHZ","[ESS]"
"MG","12:05:88:5f:85:7d","","-60","5220","20MHZ","[ESS]"
"MG","12:05:88:23:81:84","","-60","5200","20MHZ","[ESS]"
"MG","12:05:88:5f:81:9e","","-62","2452","20MHZ","[ESS]"
"MG","12:05:88:5f:85:55","","-63","5745","20MHZ","[ESS]"
"MG","12:05:88:5f:81:9f","","-64","5240","20MHZ","[ESS]"
"MG","12:05:88:23:7c:34","","-66","5180","20MHZ","[ESS]"
"MG","12:05:88:23:83:cc","","-71","5180","20MHZ","[ESS]"
"MG","12:05:88:23:7c:9c","","-78","5260","20MHZ","[ESS]"
"MG","12:05:88:5f:85:ef","","-79","2452","20MHZ","[ESS]"
"MG","12:05:88:5f:80:f5","","-91","5320","20MHZ","[ESS]"
"media_TV","16:05:88:5f:86:09","","-35","5805","20MHZ","[ESS]"
"media_TV","16:05:88:5f:87:f7","","-39","2412","20MHZ","[ESS]"
"media_TV","16:05:88:5f:87:f8","","-45","5320","20MHZ","[ESS]"
"media_TV","16:05:88:5f:86:08","","-46","2452","20MHZ","[ESS]"
"media_TV","16:05:88:5f:84:c8","","-53","2472","20MHZ","[ESS]"
"media_TV","16:05:88:5f:83:8e","","-54","5765","20MHZ","[ESS]"
"media_TV","16:05:88:23:7c:a8","","-54","5785","20MHZ","[ESS]"
"media_TV","16:05:88:5f:84:c9","","-55","5280","20MHZ","[ESS]"
"media_TV","16:05:88:5f:81:c7","","-57","5300","20MHZ","[ESS]"
"media_TV","16:05:88:5f:85:7c","","-58","2412","20MHZ","[ESS]"
"media_TV","16:05:88:5f:83:8d","","-58","2432","20MHZ","[ESS]"
"media_TV","16:05:88:23:81:84","","-59","5200","20MHZ","[ESS]"
"media_TV","16:05:88:5f:85:7d","","-61","5220","20MHZ","[ESS]"
"media_TV","16:05:88:5f:81:9e","","-62","2452","20MHZ","[ESS]"
"media_TV","16:05:88:5f:85:55","","-63","5745","20MHZ","[ESS]"
"media_TV","16:05:88:5f:81:9f","","-64","5240","20MHZ","[ESS]"
"media_TV","16:05:88:23:83:cc","","-70","5180","20MHZ","[ESS]"
"media_TV","16:05:88:23:7c:9c","","-78","5260","20MHZ","[ESS]"
"media_TV","16:05:88:5f:85:ef","","-78","2452","20MHZ","[ESS]"
"media_TV","16:05:88:5f:80:f5","","-92","5320","20MHZ","[ESS]"
"","0a:05:88:5f:87:f7","","-39","2412","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:5f:87:f7","","-39","2412","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:5f:87:f8","","-45","5320","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:87:f8","","-46","5320","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"Future_lab","06:69:6c:e7:a9:07","","-50","2412","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"Future_lab","06:69:6c:e7:a9:08","","-51","5825","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:5f:84:c8","","-53","2472","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"MAXHUB-8W3","70:2e:d9:22:85:78","Shiyuan","-55","5200","40MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]"
"","0a:05:88:5f:84:c9","","-56","5280","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:5f:84:c9","","-56","5280","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:81:c7","","-57","5300","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:5f:81:c7","","-57","5300","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","fe:34:5a:e4:00:cf","","-58","5200","80MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]"
"","0a:05:88:5f:83:8d","","-58","2432","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:5f:83:8d","","-58","2432","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:23:81:84","","-59","5200","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:81:9e","","-61","2452","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:81:c6","","-63","2472","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"2S6F-MUMBAI","78:dd:d9:8c:74:e6","Shiyuan","-64","5200","40MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]"
"","1a:05:88:23:83:cc","","-70","5180","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:23:7c:9c","","-77","5260","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:23:7c:9c","","-78","5260","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:85:ef","","-78","2452","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:84:dd","","-83","5200","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:80:f5","","-90","5320","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
